Country,EU27,Agglomeration Name,Nr Inhabitants,Area (km2),Nr of people exposed to different noise bands (Lden),,,,,,,Nr of people exposed to different noise bands (Lnight),,,,,,,DF4_8 Date Released,Data Source,URL
Germany,EU27,Bergisch Gladbach,111600,83,No data ,No data ,0,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Berlin,3606316,892,No data ,No data ,600,100,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Bielefeld,334002,259,No data ,No data ,100,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Bochum,370146,146,No data ,No data ,600,100,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Bonn,335975,141,No data ,No data ,300,100,0,0,0,No data ,No data ,200,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Bottrop,117311,101,No data ,No data ,100,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Bremen,561260,318,No data ,No data ,9000,2100,700,600,100,No data ,No data ,7300,1500,800,300,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Bremerhaven,117537,101,No data ,No data ,1200,100,200,0,0,No data ,No data ,200,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Brunswick,250889,193,No data ,No data ,8700,3200,400,0,0,No data ,No data ,200,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Chemnitz,175193,53,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Germany,EU27,Cologne,1087583,405,No data ,No data ,1100,200,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Darmstadt,161874,122,No data ,No data ,1200,1000,700,600,0,No data ,No data ,900,800,1100,200,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Dortmund,609781,281,No data ,No data ,100,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Dresden,534445,186,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Germany,EU27,Duesseldorf,644000,217,No data ,No data ,600,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Duisburg,498182,233,No data ,No data ,9800,2200,300,0,0,No data ,No data ,3200,1100,100,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Erlangen,114328,77,No data ,No data ,100,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Essen,581980,210,No data ,No data ,100,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Frankfurt on the Main,770112,248,No data ,No data ,700,100,200,0,0,No data ,No data ,200,0,100,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Freiburg,230241,153,No data ,No data ,1500,200,100,0,0,No data ,No data ,300,100,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Fuerth,129882,63,No data ,No data ,200,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Gelsenkirchen,259718,105,No data ,No data ,100,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Goettingen,136065,117,No data ,No data ,400,200,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Hagen,188501,160,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Germany,EU27,Halle,238367,136,No data ,No data ,0,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Hamburg,1853935,755,No data ,No data ,5200,700,100,0,0,No data ,No data ,3400,300,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
Germany,EU27,Hanau,100307,76,No data ,No data ,800,300,100,0,0,No data ,No data ,700,200,0,0,0,2024-10-29,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
